shrinkage,interaction.depth,n.minobsinnode,n.trees,ROC,Sens,Spec,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy,Accuracy,Kappa,J,Dist,ROCSD,SensSD,SpecSD,SensitivitySD,SpecificitySD,Pos Pred ValueSD,Neg Pred ValueSD,PrecisionSD,RecallSD,F1SD,PrevalenceSD,Detection RateSD,Detection PrevalenceSD,Balanced AccuracySD,AccuracySD,KappaSD,JSD,DistSD,cluster,model
0.05,2,15,1000,0.9190229148083189,0.8393728389932231,0.8349079588914827,0.8393728389932231,0.8349079588914827,0.8375832608788083,0.8393540931514509,0.8375832608788083,0.8393728389932231,0.8370453253154535,0.5002992486696101,0.41962983189396363,0.5020646225968446,0.8371403989423529,0.8368957925214726,0.6731924218573558,0.6742807978847059,0.23706584587771354,0.01610294917846319,0.045598873430209644,0.047024422899381774,0.045598873430209644,0.047024422899381774,0.03730260143114194,0.042900871035888036,0.037302601431141925,0.045598873430209644,0.019209268203276172,0.03085496530863205,0.030141597232164176,0.044735395788644466,0.019851435903102305,0.01962239563365671,0.03915055172803832,0.03970287180620461,0.0282400396436871,cluster.10,gbm_topoclim
0.01,4,25,1500,0.9152438524702822,0.8336009959497359,0.8336765476203754,0.8336009959497359,0.8336765476203754,0.8356365595986934,0.8362309388862308,0.8356365595986934,0.8336009959497359,0.8332149115728508,0.500292211297057,0.4172292116452066,0.4996125512538559,0.8336387717850556,0.8345536607395003,0.6674572602473368,0.6672775435701112,0.24217298829785938,0.03303184532775787,0.07150830021316805,0.045412759214833,0.07150830021316805,0.045412759214833,0.036407328558748016,0.06011542807281515,0.03640732855874801,0.07150830021316805,0.04535171551989985,0.0383268944870141,0.049951413747453315,0.058321929482417025,0.04004953719900572,0.04061037625230723,0.0807345405924279,0.08009907439801144,0.05927846928105812,cluster.20,gbm_topoclim
0.01,4,50,1000,0.9148445643157158,0.8377874751239316,0.837218533465615,0.8377874751239316,0.837218533465615,0.8369550833998805,0.8363199588593283,0.8369550833998805,0.8377874751239316,0.8366369559638104,0.5013881393323546,0.42004499830178277,0.5017333863416741,0.8375030042947733,0.8369684709295367,0.6729893442792731,0.6750060085895465,0.2320633531743774,0.025839334757677395,0.03670195366983416,0.051494299836133836,0.03670195366983416,0.051494299836133836,0.0536125141759114,0.039647986997852595,0.0536125141759114,0.03670195366983416,0.03814199930957134,0.03965825311318232,0.03802745068406837,0.030745054610991522,0.03686369416386982,0.036437181658706644,0.073089601723741085,0.07372738832773965,0.053293066821690854,cluster.30,gbm_topoclim
0.05,2,25,500,0.9148683576838786,0.8367778984097654,0.8361518424757228,0.8367778984097654,0.8361518424757228,0.8342114346338811,0.8377036459824214,0.8342114346338811,0.8367778984097654,0.8337002084140468,0.49877868260823377,0.41686892268648806,0.49939832220164937,0.8364648704427441,0.835560840563093,0.6693479194708977,0.6729297408854881,0.23860728685361604,0.025420887668161966,0.06411031217011738,0.042269668055326164,0.06411031217011738,0.042269668055326164,0.04315700965444526,0.06367175005994674,0.043157009654445216,0.06411031217011738,0.03607589810742687,0.05311699285759414,0.04850875199384308,0.04986242503233581,0.031027823761433523,0.030083816583734126,0.06112060637591458,0.06205564752286705,0.04547779799761949,cluster.40,gbm_topoclim
0.01,4,50,1000,0.9159941147302966,0.8345502794223101,0.8356008740334583,0.8345502794223101,0.8356008740334583,0.8342994524411702,0.83895444088843385,0.8342994524411702,0.8345502794223101,0.8324743376654209,0.5006140855371135,0.418553816727153,0.5008423241891391,0.8350755767278841,0.8356512237280534,0.6688460911265851,0.6701511534557684,0.24153755786424208,0.02804610117477576,0.07827650850715351,0.03875610466392785,0.07827650850715351,0.03875610466392785,0.04759230153899382,0.060949191755435,0.04759230153899382,0.07827650850715351,0.050633208265167526,0.04979940172919958,0.061938800603527605,0.061573256210320275,0.03799856895250514,0.037512411681641475,0.07628566511667059,0.07599713790501028,0.057024492674338026,cluster.50,gbm_topoclim
0.01,4,50,2000,0.9177135788401352,0.8382860724110183,0.8395155929794013,0.8382860724110183,0.8395155929794013,0.8370688917342657,0.8374511766009358,0.8370688917342657,0.8382860724110183,0.8358383797402379,0.501138149811793,0.419049565089605,0.5000944479931035,0.8389008326952098,0.8368665323743134,0.6733301944610915,0.6778016653904195,0.23268798625456658,0.02705142079331349,0.061335205612305016,0.036335796928561225,0.061335205612305016,0.036335796928561225,0.05047017366640841,0.0665450967137971,0.05047017366640837,0.061335205612305016,0.040495329683860416,0.05011302522346003,0.04219777792109957,0.03267662408499875,0.03421500028777279,0.03665329958345402,0.07206797078234092,0.06843000057554557,0.05095758751861875,cluster.60,gbm_topoclim
0.01,6,25,1000,0.9145542235387032,0.826466553094205,0.8351538914510233,0.826466553094205,0.8351538914510233,0.83405545126465,0.83593529721679,0.83405545126465,0.826466553094205,0.8282303513156744,0.5007023973008587,0.4153294511433673,0.49744750938903803,0.8308102222726141,0.8325089955968378,0.6627234391710863,0.6616204445452282,0.2500234214624769,0.027510090718159103,0.07983313413229186,0.042679386198892645,0.07983313413229186,0.042679386198892645,0.03790516585905272,0.0599667153549737,0.037905165859052674,0.07983313413229186,0.04642099720433214,0.04729681934299716,0.07058753595707352,0.07432139085433181,0.03499282545044279,0.03714538755838407,0.07205201459253723,0.06998565090088558,0.048896248429971215,cluster.70,gbm_topoclim
0.05,2,15,500,0.9156583678511969,0.8311092220691726,0.8413419454868781,0.8311092220691726,0.8413419454868781,0.8340595644833009,0.8391969128554723,0.834059564483301,0.8311092220691726,0.8284299196075589,0.4981384056867702,0.41465115660981683,0.4961342627827972,0.8362255837780254,0.8350296447500662,0.6669099222159566,0.6724511675560507,0.24543946662850424,0.031450151845793375,0.08833562960755353,0.05641501620441994,0.08833562960755353,0.05641501620441994,0.07224837585367652,0.06818381615331856,0.07224837585367651,0.08833562960755353,0.05553470008800859,0.0705545497254307,0.07867919809278255,0.0740263357557561,0.03869816748796329,0.03802612849605093,0.07603783221328556,0.07739633497592659,0.060948020781292994,cluster.80,gbm_topoclim
0.01,2,10,1500,0.9126097416098569,0.8282475010938025,0.8311587151457326,0.8282475010938025,0.8311587151457326,0.8296370965461884,0.8303751517219636,0.8296370965461884,0.8282475010938025,0.8267770924253222,0.5011024755493015,0.4151250386504607,0.4996925584008438,0.8297031081197676,0.829455043350776,0.656578999671217,0.6594062162395351,0.24817984986126965,0.017984043325432186,0.06535107132827522,0.036942042510759956,0.06535107132827522,0.036942042510759956,0.04975057363589454,0.05872148950352503,0.04975057363589453,0.06535107132827522,0.03965765903745323,0.055056000085295605,0.0566833784897565,0.05670290700724244,0.026500424897274742,0.027709876848181273,0.05641308141053053,0.053000849794549484,0.04062007987790977,cluster.90,gbm_topoclim
0.01,8,50,500,0.9160050760357876,0.8367195950297887,0.8303210121393451,0.8367195950297887,0.8303210121393451,0.8316177526742654,0.8424851587560834,0.8316177526742654,0.8367195950297887,0.8319747156135954,0.4988953601423778,0.41822689617934794,0.5026482368080322,0.8335203035845669,0.8349101954082858,0.6672352957196425,0.6670406071691337,0.24639871465149107,0.025164360587514426,0.08278913228060515,0.03984417192012263,0.08278913228060515,0.03984417192012263,0.03127965492965411,0.0651907870078903,0.03127965492965409,0.08278913228060515,0.045512916379888566,0.04684712770204032,0.06369184248876113,0.0712621748984195,0.03447713062779873,0.034989138027486245,0.06986059668383267,0.06895426125559746,0.05095271882990949,cluster.100,gbm_topoclim
