mtry,ROC,Sens,Spec,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy,Accuracy,Kappa,J,Dist,ROCSD,SensSD,SpecSD,SensitivitySD,SpecificitySD,Pos Pred ValueSD,Neg Pred ValueSD,PrecisionSD,RecallSD,F1SD,PrevalenceSD,Detection RateSD,Detection PrevalenceSD,Balanced AccuracySD,AccuracySD,KappaSD,JSD,DistSD,cluster,model,shrinkage,interaction.depth,n.minobsinnode,n.trees,char_vars
2,0.9176538988378696,0.8345698002492118,0.8373274538909358,0.8345698002492118,0.8373274538909358,0.8382804417358763,0.8317408036117994,0.8382804417358763,0.8345698002492118,0.834990585941296,0.5006623551512848,0.4172293240987637,0.4967210012579492,0.8359486270700738,0.8370752917882934,0.6687745087058716,0.6718972541401476,0.23795841123524705,0.028893419600046093,0.06015558361329004,0.04431700599773658,0.06015558361329004,0.04431700599773658,0.03380481097744616,0.06889765282051613,0.033804810977446156,0.06015558361329004,0.03320230326173296,0.07758620204391727,0.06928976611547975,0.07390740603842987,0.033967508872857016,0.03397960080225331,0.06621282219970151,0.06793501774571403,0.0497742113504286,cluster.101,rf,NA,NA,NA,NA,"accum30, nppmmid30agg, twi30agg, deficitRS, vvsd30agg, cad30RS, tpi30agg, NIR_med, vv30agg"
5,0.9150805628925721,0.8277615497782594,0.8336590611624461,0.8277615497782594,0.8336590611624461,0.8342015484130555,0.8262804615406211,0.8342015484130555,0.8277615497782594,0.8293185717675114,0.5006623551512848,0.4142105818654946,0.4955226922738974,0.8307103054703527,0.8322361163058071,0.6584367454703866,0.6614206109407056,0.24658833934409297,0.029494350245682595,0.059323481359158096,0.05124355855202808,0.059323481359158096,0.05124355855202808,0.04092602848855986,0.06703974952878398,0.04092602848855988,0.059323481359158096,0.03353223517275803,0.07758620204391727,0.070721906231138415,0.07617468215853382,0.03232078680968135,0.03139381579133258,0.06295348732456217,0.0646415736193627,0.0478451498522897,cluster.101,rf,NA,NA,NA,NA,"accum30, nppmmid30agg, twi30agg, deficitRS, vvsd30agg, cad30RS, tpi30agg, NIR_med, vv30agg"
9,0.911278063175218,0.8244307397913021,0.8308017921199613,0.8244307397913021,0.8308017921199613,0.8295728562510023,0.8232124040215321,0.8295728562510023,0.8244307397913021,0.8254308662483729,0.5006623551512848,0.4125503983446088,0.4956226397386542,0.8276162659556316,0.8288158017992786,0.6516901829328465,0.6552325319112634,0.24978954493369665,0.029369218360790796,0.06050313675773746,0.04139212189605736,0.06050313675773746,0.04139212189605736,0.041262455130742816,0.06899263388105956,0.04126245513074281,0.06050313675773746,0.03619344883046225,0.07758620204391727,0.07053891523767931,0.07157507211862818,0.03168002610652703,0.030957006796784696,0.06259259828936876,0.06336005221305406,0.045878165990518464,cluster.101,rf,NA,NA,NA,NA,"accum30, nppmmid30agg, twi30agg, deficitRS, vvsd30agg, cad30RS, tpi30agg, NIR_med, vv30agg"
2,0.9161788799156642,0.8323062032044616,0.8433869567847379,0.8323062032044616,0.8433869567847379,0.8425801908046628,0.8245659740246715,0.8425801908046628,0.8323062032044616,0.8339878884054281,0.5079312566581133,0.4212909365058163,0.4990111027393568,0.8378465799945997,0.8356395136141624,0.6652102543838404,0.6756931599891994,0.2413042967808464,0.027364325058977332,0.06882139717380184,0.05618466427332904,0.06882139717380184,0.05618466427332904,0.06342683056628431,0.0920012226181341,0.06342683056628431,0.06882139717380184,0.034590275679135384,0.09337033915574022,0.07425786659975724,0.0725017916344831,0.027981393291701386,0.028185957178621223,0.059543742588651395,0.05596278658340277,0.04116204065188781,cluster.126,rf,NA,NA,NA,NA,"accum30, nppmmid30agg, cad30RS, tpi30agg, deficitRS, npol30agg, NDVI_med, vv30agg, twi30agg"
5,0.9135177179068906,0.8313861925644759,0.8356962495460667,0.8313861925644759,0.8356962495460667,0.8362486683765225,0.822245904464887,0.8362486683765225,0.8313861925644759,0.8308302554913588,0.5079312566581133,0.4212341623394813,0.5026404333815183,0.8335412210552713,0.831896634639331,0.6572878988832345,0.6670824421105426,0.24614340547431268,0.02716924256786389,0.05995723981630593,0.06053306285918272,0.05995723981630593,0.06053306285918272,0.065735368713696965,0.0854245102138031,0.065735368713697,0.05995723981630593,0.03346404275211686,0.09337033915574022,0.07528680709641206,0.0727548293061182,0.02839738857394662,0.027476117253206922,0.05747729789374228,0.05679477714789324,0.0390579695608392,cluster.126,rf,NA,NA,NA,NA,"accum30, nppmmid30agg, cad30RS, tpi30agg, deficitRS, npol30agg, NDVI_med, vv30agg, twi30agg"
9,0.9096402963176368,0.8272953906646181,0.8266099156726131,0.8272953906646181,0.8266099156726131,0.8279346507359064,0.817065692180946,0.8279346507359064,0.8272953906646181,0.8246039307683134,0.5079312566581133,0.4190904393868049,0.5050259425769535,0.8269526531686157,0.825223679538543,0.6438635173991625,0.6539053063372312,0.2552677904256166,0.027407210546324286,0.060911102103324566,0.06225100051533461,0.060911102103324566,0.06225100051533461,0.06783615826064568,0.08868762150080707,0.06783615826064568,0.060911102103324566,0.03563012531123473,0.09337033915574022,0.07423476328437134,0.07101560123749341,0.03104084468102158,0.029813781354750955,0.0626319447863772,0.06208168936204316,0.04158222219103757,cluster.126,rf,NA,NA,NA,NA,"accum30, nppmmid30agg, cad30RS, tpi30agg, deficitRS, npol30agg, NDVI_med, vv30agg, twi30agg"
2,0.9152538797056012,0.8358409951620646,0.839391161316319,0.8358409951620646,0.839391161316319,0.8298044445637286,0.846891098639086,0.8298044445637286,0.8358409951620646,0.8302387827503128,0.4880604879437497,0.4100018625052225,0.49087437220904673,0.8376160782391917,0.8410688648576486,0.671932375253532,0.6752321564783834,0.24180125586229728,0.022259164365249922,0.0807188467686691,0.050830327526440254,0.0807188467686691,0.050830327526440254,0.05999352816901231,0.06600171814536535,0.059993528169012315,0.0807188467686691,0.05291546794774067,0.0951369030954084,0.09712793337831584,0.09826415757895665,0.032050714930930625,0.02904684630100432,0.062108044003376765,0.06410142986186125,0.05233290418312385,cluster.151,rf,NA,NA,NA,NA,"accum30, nppmmid30agg, deficitRS, tpi30agg, cad30RS, vv30agg, NDVI_med, npol30agg, twi30agg"
5,0.9108963072718125,0.8295897634843891,0.8328819230187792,0.8295897634843891,0.8328819230187792,0.8243883974807446,0.8397361220279013,0.8243883974807447,0.8295897634843891,0.8243757252721217,0.4880604879437497,0.40657227160213505,0.4903160356701076,0.8312358432515841,0.8347680195904128,0.6590376588276651,0.6624716865031682,0.2512800030716815,0.023086954465301453,0.07919395600566612,0.05860026330532291,0.07919395600566612,0.05860026330532291,0.05898695059306449,0.06812589366376479,0.05898695059306453,0.07919395600566612,0.050378793734586445,0.0951369030954084,0.09511295185068856,0.09896730293290308,0.03234721301809777,0.02892564817020986,0.06149153652134892,0.06469442603619555,0.053349649525621,cluster.151,rf,NA,NA,NA,NA,"accum30, nppmmid30agg, deficitRS, tpi30agg, cad30RS, vv30agg, NDVI_med, npol30agg, twi30agg"
9,0.9072940965167241,0.8202084602420574,0.8262783991749737,0.8202084602420574,0.8262783991749737,0.815864279510096,0.8323099783651318,0.815864279510096,0.8202084602420574,0.8153456583471063,0.4880604879437497,0.4025504767467925,0.49002223600470896,0.8232434297085155,0.8270182295451264,0.6430288300765009,0.6464868594170311,0.26237955686914566,0.024305416270217862,0.07934507626359538,0.05811463024505935,0.07934507626359538,0.05811463024505935,0.06509268436165247,0.06414307567710718,0.06509268436165246,0.07934507626359538,0.054057615359872045,0.0951369030954084,0.09664192744026001,0.09876161526260302,0.030156311515487536,0.026455064972973435,0.05821044190292804,0.06031262303097507,0.05128154029048913,cluster.151,rf,NA,NA,NA,NA,"accum30, nppmmid30agg, deficitRS, tpi30agg, cad30RS, vv30agg, NDVI_med, npol30agg, twi30agg"
2,0.9124985480900769,0.820355022181733,0.8531173860466481,0.820355022181733,0.8531173860466481,0.8406557331145799,0.831090993588496,0.8406557331145799,0.820355022181733,0.827923729868873,0.49685389465793556,0.4078399951032529,0.48217623326400033,0.8367362041141906,0.83664986228457,0.6684312056608233,0.6734724082283812,0.24181769345616017,0.04086324021653841,0.09475115985753617,0.027861152099973394,0.09475115985753617,0.027861152099973394,0.05806516541444528,0.08619846440879553,0.05806516541444528,0.09475115985753617,0.06275346478132557,0.07686332692329466,0.07980194757062996,0.0709487872908137,0.04807997155863997,0.04697858560978312,0.09547004254094128,0.09615994311727993,0.067902274141717,cluster.176,rf,NA,NA,NA,NA,"accum30, nppmmid30agg, cpg30precip, vvsd30agg, twi30agg, NDVI_med, deficitRS, cad30RS, tpi30agg, vv30agg"
