stream,ID,twi30agg,tpi30agg,accum30,vv30agg,vvsd30agg,npol30agg,NDVI_med,nppmmid30agg,deficitRS,cad30RS,decid30RS,Green_med,NIR_med,cpg30precip,NHDPlus,utm1,utm2,lon,Class,spatial_cluster80,spatial_cluster40,sb_med
X1,4133,4.85308742523193,2.73465991020203,30.0956153869629,-9.51834964752197,1.61949133872986,0.230122789740562,0.665568828582764,4512.63671875,412,-10.665943145752,0.0200070887804031,482.795349121094,2050.44384765625,36621,0,186762.9889,566347.7448,-115.145528358965,X1,78,25,7
X1,10709,6.65094375610352,0.271091043949127,142.13883972168,-8.7267370223999,1.83164894580841,0.244954288005829,0.687038958072662,6351.49267578125,237,-3.22349667549133,0.303363293409348,319.729827880859,1405.63940429688,73511,0,183868.025699999,525580.5603,-115.144886613224,X1,65,127,10
X1,3511,5.4127311706543,-0.367119669914246,5814.36328125,-9.33765506744385,2.07812643051147,0.251532703638077,0.701338708400726,5403.15869140625,422,-7.84566068649292,0.0219639297574759,399.537475585938,1809.23205566406,44883,1,181235.034299999,553211.369100001,-115.207733890233,X1,8,168,1
X1,2247,5.49708271026611,1.91701936721802,91.2387542724609,-6.29780721664429,2.88656568527222,0.34964057803154,0.618819117546082,5399.84375,371,-3.53594589233398,0.122661560773849,521.189758300781,2082.96923828125,52010,0,171488.020199999,544087.669500001,-115.330862724989,X1,86,20,2
X1,2647,7.91917848587036,0.0158420130610466,657.710327148438,-10.0804119110107,2.18945980072021,0.223211169242859,0.628471910953522,2521.57446289062,253,-2.89943242073059,0.213286072015762,566.348876953125,2327.06616210938,103214,0,157869.665899999,548598.5953,-115.520160973816,X1,6,202,10
X1,4053,7.15037059783936,-0.204372823238373,253.707702636719,-8.70759010314941,1.470050573349,0.235405191779137,0.757992684841156,6253.90234375,212,-3.63916277885437,0.182179108262062,407.927429199219,2164.91088867188,86981,0,172642.599199999,566068.8802,-115.337452517493,X1,110,189,2
X1,1688,9.75335121154785,-0.494588226079941,3317.87548828125,-9.08939075469971,2.0060248374939,0.243624538183212,0.670988261699677,4868.59716796875,201,-3.87677550315857,0.198387503623962,497.447570800781,2196.2470703125,120823,0,182946.1642,536233.9406,-115.167783711166,X1,76,219,5
X1,2625,6.35868978500366,0.521158874034882,223.641311645508,-9.75292778015137,3.54318642616272,0.231602609157562,0.639873623847961,3451.75146484375,290,-2.50933051109314,0.143270939588547,566.378295898438,2352.40380859375,71667,0,168440.532099999,547473.9375,-115.375624784441,X1,89,160,9
X1,3027,9.02343559265137,-0.689439535140991,953.487121582031,-6.24798774719238,3.21437525749207,0.372442245483398,0.630419850349426,2492.07983398438,285,-2.39355897903442,0.181700870394707,574.682495117188,2406.28540039062,86321,0,182443.8783,547857.638800001,-115.186029266713,X1,27,201,1
X1,996,7.07292222976685,0.471421986818314,372.177093505859,-6.94623231887817,1.5589656829834,0.29990017414093,0.705806195735931,5897.22021484375,317,-2.42006659507751,0.251753956079483,431.351867675781,1816.84765625,89054,0,188605.568299999,529615.279300001,-115.084734165204,X1,46,89,1
X1,3645,9.1275691986084,-4.70236539840698,6347.06298828125,-7.45294332504272,2.29484057426453,0.280812323093414,0.735339224338531,6383.0791015625,259,-2.30770635604858,0.302800476551056,436.366149902344,2151.01513671875,91740,1,171957.1327,555709.730900001,-115.336260728315,X1,103,185,6
X1,479,7.29411363601685,-1.20441353321075,310.196502685547,-6.81900501251221,1.74740386009216,0.327532231807709,0.716741859912872,5298.9345703125,317,-4.19295358657837,0.0665580779314041,434.638488769531,2077.87841796875,79192,0,205507.6579,523654.256100001,-114.850497353002,X1,13,137,2
X1,3743,7.75596237182617,-0.0456339530646801,361.821502685547,-9.79428863525391,1.90140569210052,0.227801397442818,0.697771608829498,5703.1943359375,424,-9.83209323883057,0.13184018433094,436.302917480469,1964.95483398438,56038,0,202268.175899999,554730.0735,-114.923422889003,X1,10,77,9
X1,634,7.3915114402771,-0.152615010738373,277.236999511719,-6.93240594863892,1.98437404632568,0.311454176902771,0.725618124008179,6422.041015625,247,-4.55521965026855,0.296281576156616,363.634429931641,1633.86437988281,87136,0,158178.5306,530055.9309,-115.496686408482,X1,91,71,4
X1,578,8.87695693969727,-3.65631771087646,5828.93798828125,-8.64170455932617,1.74762904644012,0.260104328393936,0.670889675617218,4353.34375,376,-6.14599800109863,0.0636727958917618,503.720764160156,2204.10400390625,78656,1,209871.3708,524173.341399999,-114.791967922115,X1,108,52,3
X1,3825,10.2091016769409,-2.75155973434448,3534.79760742188,-7.41314792633057,1.86218762397766,0.311225712299347,0.687795102596283,6431.51513671875,240,-3.13765645027161,0.0858075022697449,369.113494873047,1549.88391113281,100699,1,171334.672700001,558993.392999999,-115.348051794073,X1,19,90,6
X1,3553,6.9584321975708,-0.241909444332123,627.807189941406,-10.5939512252808,1.63076162338257,0.238645181059837,0.608610808849335,3818.98486328125,440,-8.28197479248047,0.0745284184813499,557.581115722656,2138.62915039062,45001,0,183066.4837,553261.640000001,-115.182908626451,X1,54,153,1
X1,1406,7.10124063491821,0.278537333011627,254.673812866211,-10.0321798324585,2.09417033195496,0.242785319685936,0.688932776451111,6536.751953125,225,-2.15092754364014,0.382862776517868,380.010223388672,1678.90014648438,80874,0,177156.463400001,533888.243899999,-115.243853582515,X1,49,141,7
X1,4139,5.54668474197388,1.0490790605545,43.0023460388184,-11.6588745117188,1.79149544239044,0.201325744390488,0.472771137952805,3425.25439453125,447,-10.3763437271118,-0.0133338710293174,624.472229003906,1864.00915527344,37149,0,187397.9902,566323.9323,-115.136859709945,X1,79,45,4
X1,131,7.9581880569458,-0.859686970710754,611.596069335938,-9.64587688446045,2.98345470428467,0.252538293600082,0.681880056858063,4931.42919921875,289,-4.1012167930603,0.096738338470459,442.157135009766,1862.12658691406,73031,0,206495.9738,518821.3673,-114.832680007645,X1,29,183,4
X1,3471,9.12786674499512,0.137451171875,3807.830078125,-9.24212837219238,1.49923884868622,0.21902871131897,0.658748686313629,2390.43383789062,333,-2.08201384544373,0.118580140173435,599.114685058594,2634.18896484375,80237,0,173543.648,553591.2961,-115.312569614741,X1,36,79,10
X1,1014,6.91392517089844,0.402126729488373,204.159973144531,-9.76596450805664,1.75063621997833,0.237150073051453,0.645316421985626,2489.54443359375,281,-10.1039133071899,0.162542387843132,581.942626953125,2651.11743164062,87652,0,156883.5513,532876.1832,-115.517127596373,X1,59,39,4
X1,3993,8.94493198394775,-5.95610904693604,17763.771484375,-7.40334558486938,1.85457575321198,0.303306370973587,0.728962898254395,6305.3896484375,200,-6.41554355621338,0.0972746834158897,364.006713867188,1777.04113769531,96547,1,170679.720000001,564764.4027,-115.362833766859,X1,14,103,1
X1,298,7.62295627593994,0.577012777328491,379.848937988281,-8.82864189147949,2.24431157112122,0.257223784923553,0.778523683547974,6071.29638671875,280,-2.31507921218872,0.327397763729095,363.847351074219,1974.79943847656,59324,0,174488.1459,525125.0374,-115.271216945195,X1,100,197,9
